id,name,description,category,latitude,longitude,rating,price_level,tags,image_url,opening_hours
mt-mary,Mount Mary Basilica,170-year-old basilica famed for the annual Bandra Fair and votive candles.,Heritage,19.0474,72.8223,4.7,0,pilgrimage|architecture|festive,https://placehold.co/600x400?text=MtMary,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
juhu-beach,Juhu Beach,"Broad sandy stretch loved for sunsets, street snacks, and morning joggers.",Waterfront,19.111,72.8286,4.3,0,sunset|snacks|family,https://placehold.co/600x400?text=Juhu,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
versova-village,Versova Village,Charming fishing village blending Koli heritage with boho cafes.,Culture,19.134,72.81,4.2,1,seafood|walks|culture,https://placehold.co/600x400?text=Versova,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
elephanta-caves,Elephanta Caves,UNESCO-listed basalt cave temples with monumental Shiva sculptures.,Heritage,18.9633,72.9316,4.5,2,unesco|boat|temples,https://placehold.co/600x400?text=Elephanta,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
global-vipassana,Global Vipassana Pagoda,Golden meditation pagoda with 600ft diameter dome across Gorai creek.,Culture,19.228,72.795,4.6,0,meditation|architecture|sunset,https://placehold.co/600x400?text=Pagoda,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
taraporevala-aquarium,Taraporevala Aquarium,"India's oldest aquarium with 2,000+ fish and touch pools.",Museum,18.9483,72.8212,4.0,1,family|kids|marine,https://placehold.co/600x400?text=Aquarium,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
nehru-planetarium,Nehru Planetarium,Dome theatre projecting immersive astronomy shows.,Museum,18.9917,72.8112,4.3,1,space|kids|education,https://placehold.co/600x400?text=Planetarium,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
worli-sea-face,Worli Sea Face,Wave-battered promenade with skyline views and monsoon spray.,Waterfront,19.005,72.815,4.5,0,monsoon|jogging|photo,https://placehold.co/600x400?text=Worli,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
haji-ali,Haji Ali Dargah,Floating 15th-century dargah connected by a dramatic causeway.,Heritage,18.9826,72.8088,4.6,0,spiritual|architecture|sunset,https://placehold.co/600x400?text=HajiAli,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
siddhivinayak,Siddhivinayak Temple,Grand Ganesha temple drawing daily queues of devotees.,Heritage,19.0169,72.8305,4.8,0,spiritual|festive|prasad,https://placehold.co/600x400?text=Siddhivinayak,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
byculla-zoo,Veermata Jijabai Bhosale Zoo,"Historic city zoo featuring aviaries, reptile houses, and botanical gardens.",Park,18.9811,72.8338,4.2,1,family|kids|heritage,https://placehold.co/600x400?text=Zoo,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
bandra-cafe-0,Bandra Cafe Hub 1,Curated cafe experience in Bandra with local facilitators.,Cafe,19.061788535969157,72.81950021510444,4.2,1,cafe|bandra|date,https://placehold.co/600x400?text=Cafe,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
powai-gallery-1,Powai Gallery Hub 2,Curated gallery experience in Powai with local facilitators.,Gallery,19.12172942428328,72.90953398974847,4.8,0,gallery|powai|music,https://placehold.co/600x400?text=Gallery,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
colaba-trail-2,Colaba Trail Hub 3,Curated trail experience in Colaba with local facilitators.,Trail,18.906438436393707,72.80459594438875,4.2,0,trail|colaba|music,https://placehold.co/600x400?text=Trail,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
fort-workshop-3,Fort Workshop Hub 4,Curated workshop experience in Fort with local facilitators.,Workshop,18.92597675301373,72.83799768875558,4.5,1,workshop|fort|culture,https://placehold.co/600x400?text=Workshop,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
worli-nightlife-4,Worli Nightlife Hub 5,Curated nightlife experience in Worli with local facilitators.,Nightlife,19.00478531367752,72.82318860913355,4.0,1,nightlife|worli|culture,https://placehold.co/600x400?text=Nightlife,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
andheri-cycling-5,Andheri Cycling Hub 6,Curated cycling experience in Andheri with local facilitators.,Cycling,19.111805010330357,72.86210958999624,4.9,2,cycling|andheri|family,https://placehold.co/600x400?text=Cycling,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
thane-food walk-6,Thane Food Walk Hub 7,Curated food walk experience in Thane with local facilitators.,Food Walk,19.1798549168676,72.96993432753666,4.8,2,food walk|thane|family,https://placehold.co/600x400?text=Food Walk,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
ghatkopar-street art-7,Ghatkopar Street Art Hub 8,Curated street art experience in Ghatkopar with local facilitators.,Street Art,19.090594635733876,72.90872456182909,4.9,3,street art|ghatkopar|family,https://placehold.co/600x400?text=Street Art,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
malad-nature-8,Malad Nature Hub 9,Curated nature experience in Malad with local facilitators.,Nature,19.187040812625465,72.85458809328506,4.6,2,nature|malad|music,https://placehold.co/600x400?text=Nature,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
chembur-skydeck-9,Chembur Skydeck Hub 10,Curated skydeck experience in Chembur with local facilitators.,Skydeck,19.055845771805135,72.89139110297648,4.6,2,skydeck|chembur|family,https://placehold.co/600x400?text=Skydeck,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
bandra-cafe-10,Bandra Cafe Hub 11,Curated cafe experience in Bandra with local facilitators.,Cafe,19.066106354420302,72.8363296733351,4.3,3,cafe|bandra|solo,https://placehold.co/600x400?text=Cafe,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
powai-gallery-11,Powai Gallery Hub 12,Curated gallery experience in Powai with local facilitators.,Gallery,19.11025308194312,72.90310541400456,4.6,0,gallery|powai|music,https://placehold.co/600x400?text=Gallery,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
colaba-trail-12,Colaba Trail Hub 13,Curated trail experience in Colaba with local facilitators.,Trail,18.91069956576394,72.81468279754058,4.2,3,trail|colaba|culture,https://placehold.co/600x400?text=Trail,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
fort-workshop-13,Fort Workshop Hub 14,Curated workshop experience in Fort with local facilitators.,Workshop,18.927398956535683,72.84350782359242,4.6,1,workshop|fort|solo,https://placehold.co/600x400?text=Workshop,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
worli-nightlife-14,Worli Nightlife Hub 15,Curated nightlife experience in Worli with local facilitators.,Nightlife,19.009857038403798,72.82251999823092,4.2,0,nightlife|worli|solo,https://placehold.co/600x400?text=Nightlife,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
andheri-cycling-15,Andheri Cycling Hub 16,Curated cycling experience in Andheri with local facilitators.,Cycling,19.113023295740444,72.86032377210424,4.8,2,cycling|andheri|date,https://placehold.co/600x400?text=Cycling,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
thane-food walk-16,Thane Food Walk Hub 17,Curated food walk experience in Thane with local facilitators.,Food Walk,19.191108773305896,72.97591263802121,4.8,3,food walk|thane|date,https://placehold.co/600x400?text=Food Walk,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
ghatkopar-street art-17,Ghatkopar Street Art Hub 18,Curated street art experience in Ghatkopar with local facilitators.,Street Art,19.08129760332996,72.90293255015388,4.5,2,street art|ghatkopar|music,https://placehold.co/600x400?text=Street Art,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
malad-nature-18,Malad Nature Hub 19,Curated nature experience in Malad with local facilitators.,Nature,19.18456867654589,72.84967065849891,4.3,1,nature|malad|music,https://placehold.co/600x400?text=Nature,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
chembur-skydeck-19,Chembur Skydeck Hub 20,Curated skydeck experience in Chembur with local facilitators.,Skydeck,19.061870316697792,72.90511564315068,4.8,1,skydeck|chembur|date,https://placehold.co/600x400?text=Skydeck,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
bandra-cafe-20,Bandra Cafe Hub 21,Curated cafe experience in Bandra with local facilitators.,Cafe,19.064841587287262,72.82744319933599,4.1,3,cafe|bandra|music,https://placehold.co/600x400?text=Cafe,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
powai-gallery-21,Powai Gallery Hub 22,Curated gallery experience in Powai with local facilitators.,Gallery,19.126922427604804,72.906582286902,4.9,0,gallery|powai|family,https://placehold.co/600x400?text=Gallery,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
colaba-trail-22,Colaba Trail Hub 23,Curated trail experience in Colaba with local facilitators.,Trail,18.911634207380533,72.81473940660817,4.2,2,trail|colaba|family,https://placehold.co/600x400?text=Trail,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
fort-workshop-23,Fort Workshop Hub 24,Curated workshop experience in Fort with local facilitators.,Workshop,18.92787000257295,72.82816315508688,4.0,2,workshop|fort|music,https://placehold.co/600x400?text=Workshop,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
worli-nightlife-24,Worli Nightlife Hub 25,Curated nightlife experience in Worli with local facilitators.,Nightlife,19.00823924398104,72.81715363349208,4.1,2,nightlife|worli|music,https://placehold.co/600x400?text=Nightlife,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
andheri-cycling-25,Andheri Cycling Hub 26,Curated cycling experience in Andheri with local facilitators.,Cycling,19.11717940422876,72.862056785371,4.7,0,cycling|andheri|music,https://placehold.co/600x400?text=Cycling,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
thane-food walk-26,Thane Food Walk Hub 27,Curated food walk experience in Thane with local facilitators.,Food Walk,19.184483121140094,72.96838953484772,4.8,2,food walk|thane|date,https://placehold.co/600x400?text=Food Walk,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
ghatkopar-street art-27,Ghatkopar Street Art Hub 28,Curated street art experience in Ghatkopar with local facilitators.,Street Art,19.077158503329883,72.91556019198408,4.9,0,street art|ghatkopar|culture,https://placehold.co/600x400?text=Street Art,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
malad-nature-28,Malad Nature Hub 29,Curated nature experience in Malad with local facilitators.,Nature,19.192320465068402,72.85755968987354,4.5,1,nature|malad|date,https://placehold.co/600x400?text=Nature,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
chembur-skydeck-29,Chembur Skydeck Hub 30,Curated skydeck experience in Chembur with local facilitators.,Skydeck,19.065195016454947,72.90893697359411,4.1,3,skydeck|chembur|date,https://placehold.co/600x400?text=Skydeck,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
bandra-cafe-30,Bandra Cafe Hub 31,Curated cafe experience in Bandra with local facilitators.,Cafe,19.067578269860043,72.83410530393272,4.6,2,cafe|bandra|culture,https://placehold.co/600x400?text=Cafe,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
powai-gallery-31,Powai Gallery Hub 32,Curated gallery experience in Powai with local facilitators.,Gallery,19.126902987133217,72.9089975611528,4.4,3,gallery|powai|family,https://placehold.co/600x400?text=Gallery,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
colaba-trail-32,Colaba Trail Hub 33,Curated trail experience in Colaba with local facilitators.,Trail,18.90295811227332,72.80528051792652,4.0,1,trail|colaba|music,https://placehold.co/600x400?text=Trail,"{""mon"": [[""09:00"", ""21:00""]], ""tue"": [[""09:00"", ""21:00""]], ""wed"": [[""09:00"", ""21:00""]], ""thu"": [[""09:00"", ""21:00""]], ""fri"": [[""09:00"", ""21:00""]], ""sat"": [[""09:00"", ""21:00""]], ""sun"": [[""09:00"", ""21:00""]]}"
